Kat,Daire,Start_s,Start_us,End_s,End_us,Duration_s
1,1,1748250291,533932,1748250298,967669,7.433737
1,2,1748250291,533533,1748250298,855797,7.322264
1,3,1748250291,533763,1748250296,761063,5.227300
1,4,1748250291,534072,1748250300,499333,8.965261
1,5,1748250291,533871,1748250298,589886,7.056015
1,6,1748250291,534053,1748250296,328987,4.794934
2,1,1748250300,502750,1748250310,375521,9.872771
2,2,1748250300,503048,1748250310,396310,9.893262
2,3,1748250300,502789,1748250319,466984,18.964195
2,4,1748250300,502925,1748250314,282731,13.779806
2,5,1748250300,502814,1748250308,353569,7.850755
2,6,1748250300,502745,1748250305,499300,4.996555
3,1,1748250319,468355,1748250339,488801,20.020446
3,2,1748250319,467922,1748250325,546995,6.079073
3,3,1748250319,468142,1748250326,44699,6.576557
3,4,1748250319,468624,1748250327,141023,7.672399
3,5,1748250319,468007,1748250325,526234,6.058227
3,6,1748250319,468510,1748250324,810805,5.342295
4,1,1748250339,490142,1748250353,324813,13.834671
4,2,1748250339,490026,1748250354,906139,15.416113
4,3,1748250339,490080,1748250349,69578,9.579498
4,4,1748250339,490266,1748250356,810133,17.319867
4,5,1748250339,490256,1748250343,980225,4.489969
4,6,1748250339,490229,1748250355,121725,15.631496
5,1,1748250356,811295,1748250371,717574,14.906279
5,2,1748250356,811131,1748250363,872860,7.061729
5,3,1748250356,811150,1748250364,395717,7.584567
5,4,1748250356,811514,1748250380,237193,23.425679
5,5,1748250356,811335,1748250368,752914,11.941579
5,6,1748250356,811025,1748250362,224812,5.413787
6,1,1748250380,263303,1748250387,905009,7.641706
6,2,1748250380,263781,1748250386,368063,6.104282
6,3,1748250380,263850,1748250388,36973,7.773123
6,4,1748250380,263475,1748250387,371541,7.108066
6,5,1748250380,263708,1748250386,434600,6.170892
6,6,1748250380,263516,1748250385,796215,5.532699
7,1,1748250388,38763,1748250399,248740,11.209977
7,2,1748250388,37413,1748250412,623774,24.586361
7,3,1748250388,38077,1748250405,46998,17.008921
7,4,1748250388,38090,1748250394,186595,6.148505
7,5,1748250388,37763,1748250403,124028,15.086265
7,6,1748250388,37775,1748250392,618815,4.581040
8,1,1748250412,625016,1748250429,709070,17.084054
8,2,1748250412,624957,1748250417,515631,4.890674
8,3,1748250412,624968,1748250418,43066,5.418098
8,4,1748250412,625114,1748250421,401901,8.776787
8,5,1748250412,625052,1748250419,777788,7.152736
8,6,1748250412,625066,1748250419,302758,6.677692
9,1,1748250429,710279,1748250440,146581,10.436302
9,2,1748250429,710319,1748250442,279380,12.569061
9,3,1748250429,710203,1748250446,458960,16.748757
9,4,1748250429,710170,1748250449,888261,20.178091
9,5,1748250429,710219,1748250435,919661,6.209442
9,6,1748250429,710380,1748250442,401739,12.691359
10,1,1748250449,890538,1748250467,324953,17.434415
10,2,1748250449,889150,1748250467,436109,17.546959
10,3,1748250449,890485,1748250464,780389,14.889904
10,4,1748250449,889471,1748250468,616315,18.726844
10,5,1748250449,890534,1748250463,216478,13.325944
10,6,1748250449,889360,1748250463,594237,13.704877
